clase,fpr,tpr,threshold,auc
Insatisfecho,0.014555315734130278,0.8751738965473631,0.63,0.9932151308213614
Insatisfecho,0.015606840444960983,0.8811179967117744,0.62,0.9932151308213614
Insatisfecho,0.01599424428579335,0.8864297457948653,0.61,0.9932151308213614
Insatisfecho,0.01721179921412364,0.8911091437966359,0.6,0.9932151308213614
Insatisfecho,0.018816757983286293,0.8956620715821424,0.59,0.9932151308213614
Insatisfecho,0.019757595882450605,0.9005944100164411,0.58,0.9932151308213614
Insatisfecho,0.020864463999114506,0.9054002782344758,0.57,0.9932151308213614
Insatisfecho,0.022192705739111186,0.9100796762362464,0.56,0.9932151308213614
Insatisfecho,0.02335491726160828,0.914759074238017,0.55,0.9932151308213614
Insatisfecho,0.024461785378272177,0.9181737700771468,0.54,0.9932151308213614
Insatisfecho,0.025734683712435664,0.9227266978626534,0.53,0.9932151308213614
Insatisfecho,0.027450329293264707,0.9272796256481599,0.52,0.9932151308213614
Insatisfecho,0.02894460125076097,0.9313266725686101,0.51,0.9932151308213614
Insatisfecho,0.030494216614090432,0.9355001897053244,0.5,0.9932151308213614
Insatisfecho,0.03204383197741989,0.940179587707095,0.49,0.9932151308213614
Insatisfecho,0.03392550777574852,0.9433413431136968,0.48,0.9932151308213614
Insatisfecho,0.035530466544911175,0.9470089793853548,0.47,0.9932151308213614
Insatisfecho,0.037633515966572585,0.9495383837106361,0.46,0.9932151308213614
Insatisfecho,0.039736565388233995,0.9538383710636145,0.45,0.9932151308213614
Insatisfecho,0.04156289778072943,0.9568736562539522,0.44,0.9932151308213614
Insatisfecho,0.04316785654989208,0.9599089414442898,0.43,0.9932151308213614
Insatisfecho,0.04554762300071946,0.9623118755533072,0.42,0.9932151308213614
Insatisfecho,0.0473739553932149,0.9657265713924371,0.41,0.9932151308213614
Insatisfecho,0.04936631800320992,0.9686353863665107,0.4,0.9932151308213614
Insatisfecho,0.05158005423653771,0.9711647906917921,0.39,0.9932151308213614
Insatisfecho,0.054015164093198294,0.972935373719489,0.38,0.9932151308213614
Insatisfecho,0.05772317228402236,0.9748324269634501,0.37,0.9932151308213614
Insatisfecho,0.06021362554651613,0.9771088908562033,0.36,0.9932151308213614
Insatisfecho,0.06264873540317671,0.9792588845326925,0.35,0.9932151308213614
Insatisfecho,0.0649178150423377,0.9807765271278613,0.34,0.9932151308213614
Insatisfecho,0.06751895511649787,0.9820412292905021,0.33,0.9932151308213614
Insatisfecho,0.07095024627815595,0.9834324016694068,0.32,0.9932151308213614
Insatisfecho,0.07438153743981404,0.9846971038320476,0.31,0.9932151308213614
Insatisfecho,0.07781282860147214,0.9862147464272164,0.3,0.9932151308213614
Insatisfecho,0.08179755382146217,0.9879853294549134,0.29,0.9932151308213614
Insatisfecho,0.08511815817145388,0.9889970911850259,0.28,0.9932151308213614
Insatisfecho,0.08899219657977751,0.9907676742127229,0.27,0.9932151308213614
Insatisfecho,0.09347501245226632,0.9919059061590996,0.26,0.9932151308213614
Insatisfecho,0.0970169904255908,0.992664727456684,0.25,0.9932151308213614
Insatisfecho,0.10133377608058,0.9938029594030606,0.24,0.9932151308213614
Insatisfecho,0.10515247108307045,0.9943088402681168,0.23,0.9932151308213614
Insatisfecho,0.1079749847805634,0.9959529530795498,0.22,0.9932151308213614
Insatisfecho,0.11251314405888538,0.9965853041608701,0.21,0.9932151308213614
Insatisfecho,0.11716199014887377,0.9970911850259264,0.2,0.9932151308213614
Insatisfecho,0.12264098732636007,0.9977235361072467,0.19,0.9932151308213614
Insatisfecho,0.12740052022801482,0.998229416972303,0.18,0.9932151308213614
Insatisfecho,0.13276883059383474,0.998229416972303,0.17,0.9932151308213614
Insatisfecho,0.13857988820632022,0.9987352978373593,0.16,0.9932151308213614
Insatisfecho,0.14560850074713597,0.9987352978373593,0.15,0.9932151308213614
Insatisfecho,0.15158558857712104,0.9987352978373593,0.14,0.9932151308213614
Insatisfecho,0.1575073330012729,0.9988617680536234,0.13,0.9932151308213614
Insatisfecho,0.16619624771708452,0.9991147084861515,0.12,0.9932151308213614
Insatisfecho,0.17377829431623223,0.9993676489186797,0.11,0.9932151308213614
Insatisfecho,0.18335270352537494,0.9993676489186797,0.1,0.9932151308213614
Insatisfecho,0.19303779954618408,0.9994941191349437,0.09,0.9932151308213614
Insatisfecho,0.2048812883944878,0.9996205893512078,0.08,0.9932151308213614
Insatisfecho,0.21810836238862139,0.9997470595674719,0.07,0.9932151308213614
Insatisfecho,0.2321102440644197,0.9997470595674719,0.06,0.9932151308213614
Insatisfecho,0.2513144058885384,0.9997470595674719,0.05,0.9932151308213614
Insatisfecho,0.27505672699097905,0.9998735297837359,0.04,0.9932151308213614
Insatisfecho,0.3051635397642371,0.9998735297837359,0.03,0.9932151308213614
Insatisfecho,0.3503237589241242,1.0,0.02,0.9932151308213614
Insatisfecho,0.4283026177430959,1.0,0.01,0.9932151308213614
Insatisfecho,1.0,1.0,0.0,0.9932151308213614
Neutral,0.0,0.0,inf,0.986121220035755
