clase,precision,recall,threshold,average_precision
Neutral,0.9747976878612716,0.6215538847117794,0.75,0.9605521908783283
Neutral,0.9774988157271436,0.6084328468229397,0.76,0.9605521908783283
Neutral,0.9794537104181774,0.597375792422232,0.77,0.9605521908783283
Neutral,0.980678721823136,0.5836650449653545,0.78,0.9605521908783283
Neutral,0.9827891672994179,0.5724605631726375,0.79,0.9605521908783283
Neutral,0.9847426945952935,0.5614035087719298,0.8,0.9605521908783283
Neutral,0.9857293868921776,0.5499041721951938,0.81,0.9605521908783283
Neutral,0.9869671463480858,0.5358985699542975,0.82,0.9605521908783283
Neutral,0.9885410844046953,0.5214506855373728,0.83,0.9605521908783283
Neutral,0.9899280575539569,0.5071502285124576,0.84,0.9605521908783283
Neutral,0.9911058404980729,0.4928497714875424,0.85,0.9605521908783283
Neutral,0.992065913945682,0.47928645142267434,0.86,0.9605521908783283
Neutral,0.9927831816755569,0.4664602683178535,0.87,0.9605521908783283
Neutral,0.9941747572815534,0.45289694825298543,0.88,0.9605521908783283
Neutral,0.9939577039274925,0.43653250773993807,0.89,0.9605521908783283
Neutral,0.9944055944055944,0.4192835028748341,0.9,0.9605521908783283
Neutral,0.9948548327820654,0.3990859501695415,0.91,0.9605521908783283
Neutral,0.9965277777777778,0.38080495356037153,0.92,0.9605521908783283
Neutral,0.9971613949716139,0.36252395695120154,0.93,0.9605521908783283
Neutral,0.9982832618025751,0.34291611381394665,0.94,0.9605521908783283
Neutral,0.9986175115207373,0.3194751584844464,0.95,0.9605521908783283
Neutral,0.9984977466199298,0.2939702196668141,0.96,0.9605521908783283
Neutral,0.9989112683723462,0.2705292643373139,0.97,0.9605521908783283
Neutral,0.9993808049535604,0.23794781070322865,0.98,0.9605521908783283
Neutral,0.9992565055762082,0.19814241486068113,0.99,0.9605521908783283
Neutral,0.9989212513484358,0.13651776500073715,1.0,0.9605521908783283
Satisfecho,0.4344779796735448,1.0,0.0,0.9920093354557589
Satisfecho,0.5297929285814903,0.9997341839447103,0.01,0.9920093354557589
Satisfecho,0.5951765264657766,0.999291157185894,0.02,0.9920093354557589
Satisfecho,0.6406454178739844,0.9991139464823675,0.03,0.9920093354557589
Satisfecho,0.6764494058336334,0.9986709197235513,0.04,0.9920093354557589
Satisfecho,0.7041690105631602,0.998227892964735,0.05,0.9920093354557589
Satisfecho,0.7272316238212118,0.9976076555023924,0.06,0.9920093354557589
Satisfecho,0.7434575733544806,0.9968102073365231,0.07,0.9920093354557589
Satisfecho,0.7598025959978366,0.9958355484671274,0.08,0.9920093354557589
Satisfecho,0.7727647867950481,0.9955697324118377,0.09,0.9920093354557589
Satisfecho,0.7850748356413484,0.9945950735424419,0.1,0.9920093354557589
Satisfecho,0.7968028419182949,0.9937090200248095,0.11,0.9920093354557589
Satisfecho,0.806085017622096,0.9930001772107035,0.12,0.9920093354557589
Satisfecho,0.8149792561321785,0.9921141236930711,0.13,0.9920093354557589
Satisfecho,0.8229841082989994,0.9911394648236753,0.14,0.9920093354557589
Satisfecho,0.8314740443254499,0.9906078327130958,0.15,0.9920093354557589
Satisfecho,0.8380345086271568,0.9898103845472267,0.16,0.9920093354557589
Satisfecho,0.844698403087868,0.9889243310295942,0.17,0.9920093354557589
Satisfecho,0.8502058240585455,0.9882154882154882,0.18,0.9920093354557589
Satisfecho,0.8575388880332666,0.986709197235513,0.19,0.9920093354557589
Satisfecho,0.8631211180124223,0.9850256955520114,0.2,0.9920093354557589
Satisfecho,0.8679274773366678,0.9840510366826156,0.21,0.9920093354557589
